# 1-D Scan of Total Energy
# Total Energy (Hartree) vs Scan Step Number
#                  X                   Y
        1.0000000000     -398.4692638150
        2.0000000000     -398.4816252110
        3.0000000000     -398.4940367170
        4.0000000000     -398.5064611030
        5.0000000000     -398.5188539600
        6.0000000000     -398.5311620180
        7.0000000000     -398.5433210390
        8.0000000000     -398.5552531680
        9.0000000000     -398.5668636350
       10.0000000000     -398.5780366910
       11.0000000000     -398.5886306200
       12.0000000000     -398.5984716940
       13.0000000000     -398.6073468930
       14.0000000000     -398.6149952050
       15.0000000000     -398.6210973090
       16.0000000000     -398.6252633770
       17.0000000000     -398.6270187280
       18.0000000000     -398.6257869390
       19.0000000000     -398.6208699910
       20.0000000000     -398.6114248430
       21.0000000000     -398.5964357530
       22.0000000000     -398.5746814330
       23.0000000000     -398.5446959570
       24.0000000000     -398.5047220530
       25.0000000000     -398.4526549760
       26.0000000000     -398.3859745460
       27.0000000000     -398.3016617370
       28.0000000000     -398.1960942950
       29.0000000000     -398.0649127050
       30.0000000000     -397.9028433210
       31.0000000000     -397.7034600930
